JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
760,5,36,38,0,5,5,,
767,5,39,58,2,3,5,,
880,5,25,61,3,2,5,,
901,5,34,63,0,5,5,,
983,5,36,55,0,5,5,,
1005,5,22,48,0,5,5,,
20,4,23,39,1,3,4,,
42,4,18,41,1,3,4,,
70,4,26,51,1,3,4,,
86,4,59,61,0,4,4,,
118,4,31,45,0,4,4,,
133,4,33,52,2,2,4,,
252,4,31,34,0,4,4,,
255,4,32,54,0,4,4,,
288,4,30,46,0,4,4,,
331,4,40,60,0,4,4,,
341,4,40,58,2,2,4,,
342,4,40,45,0,4,4,,
344,4,40,50,0,4,4,,
347,4,53,55,0,4,4,,
377,4,28,31,0,4,4,,
426,4,30,46,3,1,4,,
450,4,36,43,0,4,4,,
