JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male
714,5,48,54,0,5
715,2534,17,76,280,2254
716,7,28,57,0,7
717,37,27,60,3,34
718,203,20,61,18,185
719,2,39,40,0,2
720,19372,16,75,437,18935
721,5066,17,70,167,4899
722,434,20,65,0,434
723,127,17,66,0,127
724,7,30,48,0,7
725,60,32,68,0,60
726,4,39,46,0,4
727,6342,17,78,469,5873
728,5699,17,76,187,5512
729,3,50,52,0,3
730,2,62,63,0,2
731,860,18,75,13,847
732,42,25,69,0,42
733,6,25,40,0,6
734,160,24,61,0,160
735,29,35,65,0,29
736,12,23,61,5,7
737,252,26,65,4,248
738,35,19,67,0,35
739,147,19,72,6,141
740,16,33,51,0,16
741,23860,16,75,934,22926
742,39,20,58,0,39
743,8,29,51,0,8
744,23,34,60,0,23
745,2142,17,70,47,2095
746,3,47,52,0,3
747,2101,18,71,94,2007
748,2,50,53,0,2
749,10,52,66,0,10
750,28,37,60,0,28
751,1236,19,69,6,1230
752,11,43,61,0,11
753,317,23,70,13,304
754,3535,19,76,90,3445
755,36,25,70,0,36
756,768,18,72,32,736
757,496,24,69,4,492
758,474,23,71,24,450
759,549,19,76,27,522
760,5,36,38,0,5
761,1093,18,74,29,1064
762,286,17,67,3,283
763,163,25,78,2,161
764,2027,18,74,84,1943
765,3,32,50,0,3
766,101,19,64,0,101
767,5,39,58,2,3
768,3,50,52,0,3
769,39,24,68,0,39
770,2,65,65,0,2
771,37,31,63,0,37
772,52,23,62,9,43
773,4,38,41,0,4
774,11,42,65,0,11
775,4,42,53,4,0
776,25,34,61,0,25
777,24,26,53,4,20
778,49,20,70,0,49
779,3,35,52,1,2
780,18,43,61,1,17
781,15,18,52,2,13
782,3,44,46,0,3
783,3,38,45,0,3
784,3,41,45,0,3
785,627,19,69,40,587
786,50,33,62,0,50
787,6005,19,82,341,5664
788,1982,16,83,282,1700
789,618,18,75,31,587
790,67,28,66,7,60
791,35,26,71,3,32
792,2,43,44,0,2
793,1073,18,80,14,1059
794,2,58,61,0,2
795,4397,17,72,114,4283
796,7,50,57,0,7
797,39,28,62,1,38
798,513,20,64,0,513
799,195,23,65,0,195
800,104,25,79,0,104
801,6,53,54,0,6
802,2,38,39,2,0
803,20,26,52,1,19
804,125,28,70,0,125
805,19,23,57,0,19
806,243,23,75,1,242
807,575,17,75,54,521
808,884,18,79,34,850
809,5874,17,84,121,5753
810,594,18,65,22,572
811,7,27,40,0,7
812,2183,17,83,9,2174
813,305,20,69,2,303
814,2,49,50,0,2
815,2,40,50,0,2
816,6,38,57,0,6
817,4,34,47,0,4
818,465,20,69,52,413
819,2,49,61,0,2
820,2,36,37,0,2
821,8,35,53,0,8
822,2,58,59,0,2
823,6,43,45,0,6
824,10,36,52,0,10
825,3,25,38,0,3
826,4,46,48,4,0
827,1946,18,74,188,1758
828,2418,18,82,526,1892
829,20,36,59,2,18
830,169,23,71,6,163
831,184,22,69,14,170
832,140,16,74,11,129
833,83,30,68,0,83
834,3,39,62,0,3
835,254,22,68,11,243
836,2237,18,72,97,2140
837,456,21,67,4,452
838,52,33,68,0,52
839,2,40,40,0,2
840,3,41,42,0,3
841,10,28,50,0,10
842,2,46,59,0,2
843,4,29,50,2,2
844,2,39,40,0,2
845,4,46,49,0,4
846,795,17,72,193,602
847,59,28,62,2,57
848,43,20,62,5,38
849,1936,17,73,472,1464
850,10416,16,83,1280,9136
851,6,53,62,0,6
852,12,38,63,0,12
853,1439,17,73,248,1191
854,1084,20,74,104,980
855,852,18,78,37,815
856,542,16,72,126,416
857,3,55,57,0,3
858,7,32,62,1,6
859,796,22,80,52,744
860,375,17,72,100,275
861,739,17,85,169,570
862,357,16,69,17,340
863,209,23,64,23,186
864,2207,18,76,148,2059
865,43,20,64,3,40
866,33,21,61,1,32
867,248,20,72,115,133
868,41,34,67,1,40
869,30,31,71,13,17
870,22,21,64,6,16
871,143,17,66,40,103
872,43,17,68,14,29
873,282,17,70,40,242
874,60,22,62,17,43
875,311,22,71,47,264
876,825,16,70,307,518
877,58,16,58,28,30
878,70,19,62,17,53
879,20,24,78,14,6
880,5,25,61,3,2
881,3,43,48,0,3
882,3,37,39,0,3
883,1575,17,81,102,1473
884,3581,20,77,318,3263
885,646,20,72,5,641
886,2,18,22,2,0
887,3,29,31,0,3
888,2,31,33,0,2
889,8,26,49,0,8
890,328,17,75,13,315
891,4767,19,78,270,4497
892,85,22,69,2,83
893,3,44,46,0,3
894,1429,17,76,79,1350
895,327,18,69,49,278
896,328,18,65,16,312
897,800,18,77,37,763
898,12479,16,81,410,12069
899,490,25,74,12,478
900,12,52,59,0,12
901,5,34,63,0,5
902,417,22,76,15,402
903,2,45,46,2,0
904,820,17,78,45,775
905,6,22,57,1,5
906,15,38,58,0,15
907,4,23,56,0,4
908,57,20,56,0,57
909,29,23,58,4,25
910,47,20,74,2,45
911,4,43,46,0,4
912,2,48,49,0,2
913,378,18,67,16,362
914,163,22,66,3,160
915,7,47,54,1,6
916,66,33,68,0,66
917,248,22,75,5,243
918,348,22,77,21,327
919,709,22,73,60,649
920,35,31,72,0,35
921,27,27,65,1,26
922,7,30,49,4,3
923,76,18,74,14,62
924,2,46,59,0,2
925,47,24,69,1,46
