JobCodeNumber,JobCount,MinimumAge,MaximumAge,Female,Male,Total,SumMale,SumFemale
763,163,25,78,2,161,163,,
764,2027,18,74,84,1943,2027,,
765,3,32,50,0,3,3,,
766,101,19,64,0,101,101,,
767,5,39,58,2,3,5,,
768,3,50,52,0,3,3,,
769,39,24,68,0,39,39,,
770,2,65,65,0,2,2,,
771,37,31,63,0,37,37,,
772,52,23,62,9,43,52,,
773,4,38,41,0,4,4,,
774,11,42,65,0,11,11,,
775,4,42,53,4,0,4,,
776,25,34,61,0,25,25,,
777,24,26,53,4,20,24,,
778,49,20,70,0,49,49,,
779,3,35,52,1,2,3,,
780,18,43,61,1,17,18,,
781,15,18,52,2,13,15,,
782,3,44,46,0,3,3,,
783,3,38,45,0,3,3,,
784,3,41,45,0,3,3,,
785,627,19,69,40,587,627,,
786,50,33,62,0,50,50,,
787,6005,19,82,341,5664,6005,,
788,1982,16,83,282,1700,1982,,
789,618,18,75,31,587,618,,
790,67,28,66,7,60,67,,
791,35,26,71,3,32,35,,
792,2,43,44,0,2,2,,
793,1073,18,80,14,1059,1073,,
794,2,58,61,0,2,2,,
795,4397,17,72,114,4283,4397,,
796,7,50,57,0,7,7,,
797,39,28,62,1,38,39,,
798,513,20,64,0,513,513,,
799,195,23,65,0,195,195,,
800,104,25,79,0,104,104,,
801,6,53,54,0,6,6,,
802,2,38,39,2,0,2,,
803,20,26,52,1,19,20,,
804,125,28,70,0,125,125,,
805,19,23,57,0,19,19,,
806,243,23,75,1,242,243,,
807,575,17,75,54,521,575,,
808,884,18,79,34,850,884,,
809,5874,17,84,121,5753,5874,,
810,594,18,65,22,572,594,,
811,7,27,40,0,7,7,,
812,2183,17,83,9,2174,2183,,
813,305,20,69,2,303,305,,
814,2,49,50,0,2,2,,
815,2,40,50,0,2,2,,
816,6,38,57,0,6,6,,
817,4,34,47,0,4,4,,
818,465,20,69,52,413,465,,
819,2,49,61,0,2,2,,
820,2,36,37,0,2,2,,
821,8,35,53,0,8,8,,
822,2,58,59,0,2,2,,
823,6,43,45,0,6,6,,
824,10,36,52,0,10,10,,
825,3,25,38,0,3,3,,
826,4,46,48,4,0,4,,
827,1946,18,74,188,1758,1946,,
828,2418,18,82,526,1892,2418,,
829,20,36,59,2,18,20,,
830,169,23,71,6,163,169,,
831,184,22,69,14,170,184,,
832,140,16,74,11,129,140,,
833,83,30,68,0,83,83,,
834,3,39,62,0,3,3,,
835,254,22,68,11,243,254,,
836,2237,18,72,97,2140,2237,,
837,456,21,67,4,452,456,,
838,52,33,68,0,52,52,,
839,2,40,40,0,2,2,,
840,3,41,42,0,3,3,,
841,10,28,50,0,10,10,,
842,2,46,59,0,2,2,,
